TUFINLWGT,TEAGE,Sex,Employment_Status,InSchool,EmploymentStatusSpouse,WeekdayReported,TRHOLIDAY,TRTEC,TRTHH,1,101,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,50
8091175.924,31,Male,Employed - at work,Yes,Employed,Sunday,0,-1,720,0,610,440,60,0,0,240,0,0,0,0,0,90,0,0,0,0,,0,0
8943451.938,24,Female,Not in labor force,Yes,,Friday,0,-1,0,0,600,100,0,0,0,300,0,0,0,0,100,340,0,0,0,0,,0,0
5534871.757,16,Female,Not in labor force,Yes,,Saturday,0,-1,0,45,320,10,0,0,0,235,10,0,0,0,60,650,0,0,0,0,,100,10
14710421.84,18,Male,Not in labor force,Yes,,Sunday,0,-1,0,33,750,0,0,0,0,390,0,0,0,0,105,45,87,0,0,0,,30,0
16769735.71,20,Female,Employed - at work,Yes,,Friday,0,-1,0,90,450,0,0,0,375,285,0,0,0,0,95,95,0,0,0,0,,50,0
4422560.323,17,Male,Employed - absent,Yes,,Saturday,0,-1,0,30,525,0,0,0,0,0,0,0,0,0,90,0,480,0,0,0,,315,0
4381313.348,18,Male,Employed - at work,Yes,,Saturday,0,-1,0,105,360,15,0,0,0,564,10,0,0,0,45,240,30,0,0,0,,71,0
2322136.095,30,Female,Employed - at work,Yes,,Sunday,0,-1,0,0,920,15,0,0,0,30,0,0,0,0,40,435,0,0,0,0,,0,0
6229904.411,16,Male,Not in labor force,Yes,,Sunday,0,-1,0,55,630,0,5,0,0,60,120,0,0,0,120,191,150,0,0,0,,109,0
2970182.154,16,Female,Not in labor force,Yes,,Saturday,0,-1,0,80,630,240,0,0,0,0,120,0,0,0,90,240,0,0,0,0,,40,0
4218402.264,16,Male,Not in labor force,Yes,,Sunday,0,-1,0,25,540,0,0,0,0,150,0,0,0,0,50,675,0,0,0,0,,0,0
51842033.71,21,Female,Employed - at work,Yes,,Monday,0,-1,0,0,630,0,0,5,180,132,0,20,0,0,0,400,0,0,0,0,,73,0
1415763.718,31,Female,Not in labor force,Yes,,Sunday,0,-1,150,0,600,30,270,0,0,390,0,0,0,0,30,120,0,0,0,0,,0,0
3405600.936,15,Male,Not in labor force,Yes,,Saturday,0,-1,0,0,480,30,0,0,0,0,0,0,0,0,80,788,60,0,0,0,,2,0
6342298.443,31,Female,Employed - at work,Yes,Employed,Thursday,0,-1,291,50,439,280,0,0,420,0,90,0,0,0,20,60,0,0,0,0,,81,0
22736364.62,17,Male,Not in labor force,Yes,,Tuesday,0,-1,0,40,875,0,0,0,0,425,0,0,0,0,90,0,0,0,0,0,,10,0
4395295.743,36,Female,Not in labor force,Yes,Employed,Saturday,0,-1,910,45,420,420,50,0,0,0,0,0,0,0,0,293,0,155,0,0,,57,0
7180832.722,22,Male,Not in labor force,Yes,,Saturday,0,-1,0,1,660,0,0,0,0,0,0,0,0,0,20,759,0,0,0,0,,0,0
9143395.714,16,Male,Not in labor force,Yes,,Wednesday,0,-1,0,15,570,0,0,0,0,361,0,0,0,0,33,137,45,60,0,62,,97,60
44792365.42,25,Male,Not in labor force,Yes,,Friday,0,-1,0,35,585,64,0,0,0,370,10,0,0,0,40,242,0,0,0,0,,94,0
2406107.207,44,Male,Employed - at work,Yes,Employed,Sunday,0,-1,680,15,480,55,155,0,0,180,0,0,0,0,40,70,0,10,345,0,,10,80
7723428.425,20,Male,Not in labor force,Yes,,Saturday,0,-1,0,0,560,0,0,0,0,0,20,0,0,0,30,620,180,0,0,0,,30,0
5063023.143,16,Male,Not in labor force,Yes,,Saturday,0,-1,690,30,700,30,0,0,0,90,0,0,0,0,55,488,0,0,0,0,,47,0
22570275.71,19,Male,Unemployed - looking,Yes,,Tuesday,0,-1,0,30,545,290,0,0,0,0,0,0,0,0,50,80,60,0,0,0,,45,340
4280758.5,36,Female,Employed - at work,Yes,Unemployed,Wednesday,0,-1,293,130,300,120,65,0,0,688,0,0,0,0,70,0,0,0,0,63,,4,0
8078341.672,20,Female,Not in labor force,Yes,,Sunday,0,-1,0,65,540,65,0,0,0,30,5,0,0,0,55,290,150,0,0,120,,120,0
6767638.151,33,Female,Not in labor force,Yes,Employed,Thursday,0,-1,740,30,510,70,120,0,0,105,0,0,0,0,30,60,0,0,0,0,,10,505
4047119.739,16,Male,Not in labor force,Yes,,Sunday,0,-1,0,60,630,0,0,0,0,0,0,0,0,0,30,630,0,60,0,0,,30,0
26372595.12,18,Female,Not in labor force,Yes,,Monday,0,-1,0,65,620,0,0,0,0,530,0,0,0,0,30,60,45,45,0,0,,45,0
