TUFINLWGT,TEAGE,Sex,Employment_Status,InSchool,EmploymentStatusSpouse,WeekdayReported,TRHOLIDAY,TRTEC,TRTHH,1,101,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,50
2397479.085,47,Female,Unemployed - looking,No,,Tuesday,0,-1,0,20,450,162,0,5,0,0,0,0,0,0,45,733,0,0,0,0,,25,0
15122025.8,18,Female,Unemployed - looking,Yes,,Friday,0,-1,0,50,515,15,0,0,60,246,0,0,0,0,106,400,0,0,0,0,,48,0
17789352.63,48,Female,Employed - at work,No,Employed,Thursday,0,-1,0,45,630,41,0,0,265,0,35,0,0,0,75,220,69,0,0,0,,60,0
1643039.1,85,Female,Not in labor force,,,Sunday,0,-1,0,90,660,0,0,0,0,0,0,0,0,0,60,145,0,275,0,0,,90,120
9201109.739,36,Female,Not in labor force,No,Employed,Monday,0,-1,675,0,675,105,90,0,0,0,0,0,0,0,90,480,0,0,0,0,,0,0
8291894.856,64,Male,Not in labor force,,,Monday,0,-1,0,0,580,30,10,0,0,0,0,0,0,0,60,700,0,0,0,0,,60,0
12224140.79,42,Male,Employed - at work,No,,Thursday,0,-1,0,50,420,21,0,0,455,0,20,0,0,0,29,374,0,0,0,0,,71,0
4062123.675,65,Female,Not in labor force,,,Thursday,0,-1,0,0,630,75,0,0,0,0,0,0,0,0,45,225,0,45,420,0,,0,0
6527617.681,80,Female,Not in labor force,,,Thursday,0,-1,0,150,555,105,0,0,0,0,0,0,0,0,90,300,0,0,0,240,,0,0
4320872.645,56,Female,Employed - at work,,,Sunday,0,45,0,30,390,30,45,0,742,0,0,0,0,0,0,105,0,0,0,0,,98,0
4358342.911,34,Male,Employed - at work,Yes,Employed,Monday,0,-1,142,25,220,15,280,0,30,610,0,0,0,0,25,182,0,0,0,0,,53,0
1895994.373,57,Female,Employed - at work,,,Sunday,0,-1,0,135,520,60,0,0,550,0,60,0,0,0,75,0,0,0,0,0,,40,0
5853696.313,34,Male,Employed - at work,No,Unemployed,Friday,0,-1,462,5,808,130,22,0,90,0,60,0,0,0,15,206,0,0,0,0,,104,0
8050598.874,35,Female,Employed - at work,No,,Monday,0,-1,65,60,510,0,10,0,575,0,0,0,0,0,0,120,0,0,0,0,,165,0
