TUFINLWGT,TEAGE,Sex,Employment_Status,InSchool,EmploymentStatusSpouse,WeekdayReported,TRHOLIDAY,TRTEC,TRTHH,1,101,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,50
9332277.495,27,Female,Not in labor force,Yes,Employed,Friday,0,-1,570,30,815,460,15,0,0,0,0,0,0,0,50,0,60,0,0,0,,10,0
2665712.83,52,Female,Employed - at work,,,Tuesday,0,-1,0,60,450,0,0,0,540,0,0,0,0,0,30,120,0,0,0,0,,240,0
20408994.16,17,Female,Unemployed - looking,No,,Thursday,0,-1,0,45,694,45,0,0,0,0,80,0,0,0,20,520,0,0,0,0,,36,0
1423180.343,69,Female,Not in labor force,,,Saturday,0,-1,0,60,635,196,0,0,0,0,199,0,0,0,60,240,0,0,0,0,,50,0
7277086.327,25,Female,Unemployed - looking,No,Employed,Tuesday,0,-1,40,75,700,28,110,0,0,0,38,0,0,0,20,432,0,0,0,0,,32,5
11351549.87,22,Female,Employed - at work,Yes,Employed,Saturday,0,-1,0,30,510,20,0,30,118,0,0,0,0,0,60,456,0,0,0,0,,216,0
2972074.496,30,Female,Employed - at work,No,Employed,Saturday,0,-1,410,45,489,149,257,0,60,210,0,0,0,0,110,75,15,0,0,0,,30,0
2999174.636,36,Female,Employed - at work,No,Employed,Sunday,0,-1,360,0,635,90,240,0,0,0,60,120,0,0,60,135,0,0,0,0,,25,75
5505262.176,52,Female,Employed - at work,,Employed,Monday,0,-1,158,85,435,103,127,0,455,0,0,0,0,0,70,75,0,0,0,10,,70,10
4649368.539,36,Female,Not in labor force,No,Employed,Saturday,0,-1,75,60,530,50,121,130,0,0,275,0,0,0,30,120,0,0,0,0,,123,1
10631808.69,59,Female,Not in labor force,,Employed,Monday,0,-1,0,0,600,480,0,0,0,0,0,0,0,0,45,315,0,0,0,0,,0,0
2833900.738,37,Female,Employed - at work,No,,Thursday,0,-1,260,80,590,75,62,10,387,0,10,0,0,0,55,60,0,0,0,0,,111,0
16247815.05,33,Female,Employed - at work,No,Employed,Wednesday,0,-1,0,30,710,165,5,0,0,0,0,0,0,0,10,355,0,30,0,0,,0,135
3627726.675,71,Female,Not in labor force,,Unemployed,Sunday,0,85,0,0,570,0,9,0,0,0,0,0,0,0,120,455,0,0,0,0,,16,270
29379822.34,21,Female,Employed - at work,Yes,,Monday,0,-1,0,30,525,0,0,0,0,519,10,0,0,0,60,220,0,0,0,0,,74,2
9562550.977,41,Female,Employed - at work,No,Employed,Thursday,0,-1,0,197,854,30,0,0,0,0,25,30,0,0,120,150,0,0,0,0,,34,0
9945213.683,60,Female,Employed - at work,,Unemployed,Tuesday,0,-1,0,90,405,0,0,0,505,0,0,0,0,0,110,180,0,0,0,0,,75,75
5261565.676,23,Female,Employed - at work,No,,Saturday,0,-1,0,30,585,10,0,0,480,0,5,0,0,0,75,215,0,0,0,0,,40,0
4066790.448,48,Female,Employed - at work,No,Employed,Tuesday,0,-1,765,15,495,220,60,0,0,0,30,0,0,0,150,120,60,0,180,0,,110,0
3986803.317,71,Female,Not in labor force,,Unemployed,Saturday,0,-1,0,0,590,120,0,0,0,0,0,0,0,0,210,160,120,0,240,0,,0,0
2856693.422,28,Female,Not in labor force,No,Employed,Saturday,0,-1,650,90,630,320,70,0,0,0,0,0,0,0,100,230,0,0,0,0,,0,0
2847037.853,35,Female,Employed - at work,No,Employed,Saturday,0,242,575,65,418,120,445,0,90,0,120,0,0,0,60,30,0,0,0,0,,92,0
11614855.17,24,Female,Unemployed - looking,No,,Tuesday,0,-1,0,60,540,270,0,0,240,0,0,0,0,0,60,240,0,0,0,0,,30,0
3436741.148,49,Female,Employed - at work,No,Employed,Saturday,0,-1,0,0,840,30,0,0,0,0,0,0,0,0,40,530,0,0,0,0,,0,0
15945328.01,52,Female,Employed - at work,,,Tuesday,0,-1,0,70,390,45,0,0,410,0,10,0,0,0,35,345,0,0,0,0,,135,0
11689440.47,42,Female,Employed - at work,No,Unemployed,Tuesday,0,-1,0,25,600,55,0,0,525,0,0,0,0,0,30,205,0,0,0,0,,0,0
2618245.722,60,Female,Employed - at work,,,Saturday,0,-1,0,50,510,165,0,0,60,0,0,0,0,0,90,80,0,395,0,0,,90,0
8261263.425,60,Female,Employed - at work,,,Friday,0,60,0,60,480,210,0,0,60,0,120,0,0,0,120,240,0,0,0,0,,120,30
9729644.114,51,Female,Employed - at work,,Employed,Friday,0,-1,0,85,460,0,0,0,705,0,0,0,0,0,30,110,0,0,0,0,,50,0
6604651.37,65,Female,Not in labor force,,Unemployed,Saturday,0,-1,0,30,420,180,0,0,0,0,0,0,0,0,90,690,0,0,0,0,,30,0
16954466.43,32,Female,Not in labor force,No,Employed,Monday,0,-1,665,80,685,330,70,0,0,0,0,0,0,0,40,215,0,0,0,0,,20,0
10044421.94,19,Female,Not in labor force,Yes,,Saturday,0,-1,150,70,610,0,0,0,0,205,0,0,0,0,35,120,90,80,0,0,,200,30
13860619.83,54,Female,Employed - absent,,Employed,Wednesday,1,-1,0,30,710,100,0,0,0,0,0,0,0,0,60,540,0,0,0,0,,0,0
20103041.79,55,Female,Employed - at work,,,Tuesday,0,-1,0,75,545,210,0,0,390,0,10,0,0,0,30,120,0,0,0,0,,60,0
6160207.817,52,Female,Employed - at work,,,Wednesday,1,-1,0,0,590,410,0,0,0,0,0,0,0,0,25,415,0,0,0,0,,0,0
4999880.127,80,Female,Not in labor force,,,Tuesday,0,-1,0,0,570,0,0,0,0,0,0,0,0,0,180,690,0,0,0,0,,0,0
